id,subject_course,department,title,section,credit_hours,capacity,enrolled,seats_available,instructors,block,days,begin_time,end_time,meeting_time
92382,CSCI0505,CSCI,Independent Study,C,0.5,10,0,10,Francis Swenton,TBA,,,,TBA
92383,CSCI0505,CSCI,Independent Study,D,0.5,10,0,10,Matthew Dickerson,TBA,,,,TBA
92384,CSCI0505,CSCI,Independent Study,E,0.5,10,0,10,Peter Johnson,TBA,,,,TBA
92385,CSCI0505,CSCI,Independent Study,F,0.5,10,0,10,Ananya Das,TBA,,,,TBA
92386,CSCI0505,CSCI,Independent Study,G,0.5,10,0,10,Christopher Andrews,TBA,,,,TBA
92387,CSCI0505,CSCI,Independent Study,H,0.5,10,0,10,Michael Linderman,TBA,,,,TBA
92388,CSCI0505,CSCI,Independent Study,I,0.5,10,0,10,Philip Caplan,TBA,,,,TBA
92389,CSCI0505,CSCI,Independent Study,J,0.5,10,0,10,Shelby Kimmel,TBA,,,,TBA
92390,CSCI0505,CSCI,Independent Study,K,0.5,10,0,10,Philip Chodrow,TBA,,,,TBA
92391,CSCI0505,CSCI,Independent Study,L,0.5,10,0,10,Andrea Vaccari,TBA,,,,TBA
92392,CSCI0505,CSCI,Independent Study,M,0.5,10,0,10,Laura Biester,TBA,,,,TBA
92716,CSCI0701,CSCI,Senior Seminar,A,1,18,6,12,Andrea Vaccari,MoWeFr0945,MoWeFr,0945,1035,MoWeFr 0945-1035 75SHS 203
91859,CSCI0702,CSCI,Senior Thesis,A,1,10,0,10,,TBA,,,,TBA
91961,CSCI0702,CSCI,Senior Thesis,B,1,99,0,99,Amy Briggs,Su1900,Su,1900,2029,Su 1900-2029
91962,CSCI0702,CSCI,Senior Thesis,C,1,99,0,99,Francis Swenton,Su1900,Su,1900,2029,Su 1900-2029
91963,CSCI0702,CSCI,Senior Thesis,D,1,99,0,99,Matthew Dickerson,Su1900,Su,1900,2029,Su 1900-2029
91964,CSCI0702,CSCI,Senior Thesis,E,1,99,0,99,Peter Johnson,Su1900,Su,1900,2029,Su 1900-2029
91965,CSCI0702,CSCI,Senior Thesis,F,1,99,0,99,Ananya Das,Su1900,Su,1900,2029,Su 1900-2029
91966,CSCI0702,CSCI,Senior Thesis,G,1,99,0,99,Christopher Andrews,Su1900,Su,1900,2029,Su 1900-2029
91967,CSCI0702,CSCI,Senior Thesis,H,1,99,0,99,Michael Linderman,Su1900,Su,1900,2029,Su 1900-2029
91968,CSCI0702,CSCI,Senior Thesis,I,1,99,0,99,Philip Caplan,Su1900,Su,1900,2029,Su 1900-2029
91969,CSCI0702,CSCI,Senior Thesis,J,1,99,0,99,Shelby Kimmel,Su1900,Su,1900,2029,Su 1900-2029
91970,CSCI0702,CSCI,Senior Thesis,K,1,99,0,99,Philip Chodrow,Su1900,Su,1900,2029,Su 1900-2029
91971,CSCI0702,CSCI,Senior Thesis,L,1,99,2,97,Andrea Vaccari,Su1900,Su,1900,2029,Su 1900-2029
91972,CSCI0702,CSCI,Senior Thesis,M,1,99,0,99,Laura Biester,Su1900,Su,1900,2029,Su 1900-2029
90883,CRWR0170,CRWR,"Writing: Poetry, Fiction, NonF",A,1,15,10,5,Karin Gottshall,MoWe1415,MoWe,1415,1530,MoWe 1415-1530 MNR 416
